Symbol,Sample Time,Open,High,Low,Close,Volume,HighShort,LowLong,LowShort
NQ=F,10/25/2018 4:00,6878.5,7075.75,6816.75,6926.5,793502,,,
NQ=F,10/26/2018 4:00,6882,6986.5,6734.25,6893.25,1069548,,,
NQ=F,10/29/2018 4:00,6898,6991.5,6580.5,6736.25,905327,,,
NQ=F,10/30/2018 4:00,6719.25,6849.25,6661,6815.25,832546,,,
NQ=F,10/31/2018 4:00,6857,7039.25,6816.75,6975.5,755201,,,
NQ=F,11/1/2018 4:00,6960,7079.75,6936.75,7077.75,589071,,,
NQ=F,11/2/2018 4:00,6987.25,7143.25,6911.25,6980.25,793339,,,
NQ=F,11/5/2018 5:00,6972.75,6998.5,6865,6949.5,506045,,,
NQ=F,11/6/2018 5:00,6947.25,7034.75,6906.75,7016.5,514296,,,
NQ=F,11/7/2018 5:00,7011.5,7225,6971.5,7218.5,621601,,,
NQ=F,11/8/2018 5:00,7212.75,7231,7132,7166,477828,,,
NQ=F,11/9/2018 5:00,7145.75,7166.25,6989,7031.25,596695,,,
NQ=F,11/12/2018 5:00,7026.25,7103.75,6825.75,6835,702949,,,
NQ=F,11/13/2018 5:00,6847,6962,6801.25,6853,711516,,,
NQ=F,11/14/2018 5:00,6861.75,6929.5,6746,6768.25,731312,,,
NQ=F,11/15/2018 5:00,6780,6920.5,6712.25,6915.5,793461,,,
NQ=F,11/16/2018 5:00,6874.5,6915,6806.25,6895.25,691502,,,
NQ=F,11/19/2018 5:00,6875,6934.5,6632.25,6672,743936,,,
NQ=F,11/20/2018 5:00,6668.5,6670,6449.5,6532.5,910469,,,
NQ=F,11/21/2018 5:00,6527.75,6647.75,6509,6576.25,569302,,,
NQ=F,11/26/2018 5:00,6537.5,6696.5,6530.5,6673.25,503369,,,
NQ=F,11/27/2018 5:00,6639.5,6723,6613.25,6712.5,577173,,,
NQ=F,11/28/2018 5:00,6722.25,6923.5,6709.25,6918.25,639404,,,
NQ=F,11/29/2018 5:00,6907,6943.75,6843,6913.25,530605,,,
NQ=F,11/30/2018 5:00,6902.25,6967.25,6871.5,6949.5,485575,,,
NQ=F,12/3/2018 5:00,7041,7139,7015.25,7058.25,575964,,,
NQ=F,12/4/2018 5:00,7055.25,7055.25,6783,6803.25,811925,,,
NQ=F,12/6/2018 5:00,6834.5,6854.25,6630.25,6824.5,986103,,,
NQ=F,12/7/2018 5:00,6835.5,6856.5,6594.75,6623.5,854199,,,
NQ=F,12/10/2018 5:00,6596.25,6714.5,6535.25,6699.25,778327,,,
NQ=F,12/11/2018 5:00,6695,6808.75,6651.25,6717,734366,,,
NQ=F,12/12/2018 5:00,6686.5,6872,6683.5,6769,663375,,,
NQ=F,12/13/2018 5:00,6769,6838.5,6723,6752,626806,,,
NQ=F,12/14/2018 5:00,6752,6760.75,6583.25,6599.5,351779,,,
NQ=F,12/17/2018 5:00,6580,6635.25,6401.25,6466.25,323403,,,
NQ=F,12/18/2018 5:00,6471.25,6555.75,6435.75,6462.75,229055,,,
NQ=F,12/19/2018 5:00,6441.75,6594,6282.25,6334.75,174403,,,
NQ=F,12/20/2018 5:00,6331.75,6385.25,6161.75,6308.5,95448,,,
NQ=F,12/21/2018 5:00,6307.5,6317.75,6242,6257.25,862689,,,
NQ=F,12/26/2018 5:00,5902,6310,5820.5,6285.5,642440,,,
NQ=F,12/27/2018 5:00,6283,6333,6053.25,6323.5,740129,,,
NQ=F,12/28/2018 5:00,6309,6402.5,6243.75,6293.25,644735,,,
NQ=F,12/31/2018 5:00,6312.25,6376.75,6283,6333.25,386061,,,
NQ=F,1/2/2019 5:00,6349.5,6409.25,6154,6371,659316,,,
NQ=F,1/3/2019 5:00,6242.75,6304.25,6148.5,6162,714536,,,
NQ=F,1/4/2019 5:00,6168.75,6462,6136.5,6434,696539,,,
NQ=F,1/7/2019 5:00,6451.25,6535.75,6402.5,6496.5,516597,,,
NQ=F,1/8/2019 5:00,6506,6586.25,6467.25,6557.25,539049,,,
NQ=F,1/9/2019 5:00,6546.75,6645,6546.75,6604.75,496789,,,
