stock,Date,Actual,Pred,Predlag
CSCO,2020-08-27,42.290000915527344,42.16152,42.06642
CSCO,2020-08-28,42.20000076293945,42.06642,41.91393
CSCO,2020-08-31,42.22000122070313,41.91393,41.844456
CSCO,2020-09-01,42.02999877929688,41.844456,41.614086
CSCO,2020-09-02,42.41999816894531,41.614086,41.880825
CSCO,2020-09-03,40.95000076293945,41.880825,40.738009999999996
CSCO,2020-09-04,40.81999969482422,40.738009999999996,40.51381
CSCO,2020-09-08,40.0,40.51381,39.71333
CSCO,2020-09-09,40.13000106811523,39.71333,39.643425
CSCO,2020-09-10,39.56999969482422,39.643425,39.10717
CSCO,2020-09-11,39.88000106811523,39.10717,39.2584
CSCO,2020-09-14,40.36999893188477,39.2584,39.644245
CSCO,2020-09-15,40.599998474121094,39.644245,39.916367
